IATA,ICAO,Airport name,Country,City,Information
CZO,,Chistochina,United States of America,Chistochina,https://www.worlddata.info/america/usa/airports.php
CZS,SBCZ,Cruzeiro do Sul,Brazil,Cruzeiro Do Sul,https://www.worlddata.info/america/brazil/airports.php
CZT,KCZT,Dimmit County,United States of America,Carrizo Springs,https://www.worlddata.info/america/usa/airports.php
CZU,SKCZ,Las Brujas,Colombia,Corozal,https://www.worlddata.info/america/colombia/airports.php
CZW,EPCH,Częstochowa-Rudniki,Poland,Rudniki,https://www.worlddata.info/europe/poland/airports.php
CZX,ZSCG,Changzhou Benniu Intl,China,Changzhou,https://www.worlddata.info/asia/china/airports.php
CZY,YUNY,Cluny,Australia,,https://www.worlddata.info/oceania/australia/airports.php
DAA,KDAA,Davison Army Air Field,United States of America,Fort Belvoir,https://www.worlddata.info/america/usa/airports.php
DAB,KDAB,Daytona Beach Intl,United States of America,Daytona Beach,https://www.worlddata.info/america/usa/airports.php
DAC,VGHS,Hazrat Shahjalal Intl,Bangladesh,Dhaka,https://www.worlddata.info/asia/bangladesh/airports.php
DAD,VVDN,Da Nang Intl,Vietnam,Da Nang,https://www.worlddata.info/asia/vietnam/airports.php
DAF,,Daup,Papua New Guinea,,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
DAG,KDAG,Barstow Daggett,United States of America,Daggett,https://www.worlddata.info/america/usa/airports.php
DAK,HEDK,Dakhla Oasis,Egypt,Dakhla Oases,https://www.worlddata.info/africa/egypt/airports.php
DAL,KDAL,Dallas Love Field,United States of America,Dallas,https://www.worlddata.info/america/usa/airports.php
DAM,OSDI,Damascus Intl,Syria,Damascus,https://www.worlddata.info/asia/syria/airports.php
DAN,KDAN,Danville Regional,United States of America,Danville,https://www.worlddata.info/america/usa/airports.php
DAO,,Dabo,Papua New Guinea,,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
DAP,VNDL,Darchula,Nepal,Darchula,https://www.worlddata.info/asia/nepal/airports.php
DAR,HTDA,Julius Nyerere Intl,Tanzania,Dar es Salaam,https://www.worlddata.info/africa/tanzania/airports.php
DAS,,Great Bear Lake,Canada,Great Bear Lake,https://www.worlddata.info/america/canada/airports.php
DAT,ZBDT,Datong Yungang Intl,China,Datong,https://www.worlddata.info/asia/china/airports.php
DAU,AYDU,Daru,Papua New Guinea,Daru,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
DAV,MPDA,Enrique Malek Intl,Panama,David,https://www.worlddata.info/america/panama/airports.php
DAX,ZUDX,Dachuan,China,Dazhou (Daxian),https://www.worlddata.info/asia/china/airports.php
DAY,KDAY,James M. Cox Dayton Intl,United States of America,Dayton,https://www.worlddata.info/america/usa/airports.php
DAZ,OADZ,Darwaz,Afghanistan,Darwaz,https://www.worlddata.info/asia/afghanistan/airports.php
DBA,OPDB,Dalbandin,Pakistan,Dalbandin,https://www.worlddata.info/asia/pakistan/airports.php
DBB,HEAL,El Alamein Intl,Egypt,El Alamein,https://www.worlddata.info/africa/egypt/airports.php
DBC,ZYBA,Baicheng Chang'an,China,Baicheng,https://www.worlddata.info/asia/china/airports.php
DBD,VEDB,Dhanbad,India,,https://www.worlddata.info/asia/india/airports.php
DBM,HADM,Debre Markos,Ethiopia,Debre Markos,https://www.worlddata.info/africa/ethiopia/airports.php
DBN,KDBN,W H 'Bud' Barron,United States of America,Dublin,https://www.worlddata.info/america/usa/airports.php
DBO,YSDU,Dubbo City Regional,Australia,Dubbo,https://www.worlddata.info/oceania/australia/airports.php
